1977-06		1981-02		UCD		Suárez
1981-02		1982-12		UCD		Calvo-Sotelo
1982-12		1996-03		PSOE	González
1996-03		2004-03		PP		Aznar
2004-03		2011-11		PSOE	Zapatero
2011-11		2016-06		PP		Rajoy
#2016-06
